,College,AAU,Type,Employees,All Students,2020 Vote
40,[Boston University](https://www.bu.edu/president/vaccination-and-the-fall-semester-at-boston-university/)@@Boston University,Y,Private,✓,✓,D
43,[Brandeis University](https://www.brandeis.edu/covid-19/policies/campus-updates/2021-04-26-vaccine-requirement.html)@@Brandeis University,Y,Private,✓,✓,D
48,[Brown University](https://www.providencejournal.com/story/news/2021/04/06/brown-begin-requiring-vaccines-students-come-fall/7107713002/)@@Brown University,Y,Private,✓,✓,D
58,[California Institute of Technology](https://studentaffairs.caltech.edu/policies/vaccination-policy)@@California Institute of Technology,Y,Private,✓,✓,D
82,[Carnegie Mellon University](https://www.cmu.edu/coronavirus/news-and-communications/communications-archive/2021/may/vaccine-requirements-for-fall-semester.html)@@Carnegie Mellon University,Y,Private,✓,✓,D
84,[Case Western Reserve University](https://case.edu/covid19/covid-19-communications/vaccination-requirements-case-western-reserve-university)@@Case Western Reserve University,Y,Private,✓,✓,R
148,[Columbia University](https://covid19.columbia.edu/news/fall-2021-vaccine-policy-update)@@Columbia University,Y,Private,✓,✓,D
154,[Cornell University](https://news.cornell.edu/stories/2021/04/cornell-releases-plans-fall-return-campus)@@Cornell University,Y,Private,--,✓,D
178,[Dartmouth College](https://www.thedartmouth.com/article/2021/04/college-will-require-vaccination-to-return-this-fall)@@Dartmouth College,Y,Private,✓,✓,D
192,[Duke University](https://today.duke.edu/2021/04/student-vaccination-requirements-fall-semester)@@Duke University,Y,Private,✓,✓,R
207,[Emory University](https://twitter.com/gregfenves/status/1384176713593094144?s=21)@@Emory University,Y,Private,✓,✓,D
255,[Harvard University](https://www.harvard.edu/president/news/2021/covid-19-updates-and-vaccination-at-harvard/)@@Harvard University,Y,Private,✓,✓,D
278,[Indiana University at Bloomington](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Bloomington,Y,Public,✓,✓,R
293,[Johns Hopkins University](https://hub.jhu.edu/2021/04/09/fall-return-to-campus-planning/?mc_cid=a95b995103&amp;mc_eid=658804808d)@@Johns Hopkins University,Y,Private,✓,✓,D
349,[Massachusetts Institute of Technology](http://inj9.mjt.lu/nl2/inj9/miuv5.html?m=AVUAAC0Wl0UAAcrpphwAAAJYdLEAAAAASwUAJSExAAiQzwBgjH8pI8uQr74_QCSKDl0IDI2-zwAIIWc&b=7a229fb6&e=06355d55&x=FedvQbyvA5Jkzbkam6ng7g)@@Massachusetts Institute of Technology,Y,Private,✓,✓,D
361,[Michigan State University](https://president.msu.edu/communications/messages-statements/2021_community_letters/2021-07-30-mask-vaccine-requirement.html)@@Michigan State University,Y,Public,✓,✓,D
395,[New York University](https://www.nyu.edu/life/safety-health-wellness/coronavirus-information/safety-and-health/covid-19-vaccine/vaccine-questions-and-support/vaccine-requirement.html)@@New York University,Y,Private,✓,✓,D
410,[Northwestern University](https://www.northwestern.edu/coronavirus-covid-19-updates/health/vaccine/)@@Northwestern University,Y,Private,✓,✓,D
439,[Princeton University](https://www.princeton.edu/news/2021/04/20/university-will-require-all-undergraduate-and-graduate-students-receive-covid-19)@@Princeton University,Y,Private,✓,✓,D
454,[Rice University](https://coronavirus.rice.edu/news/president-planning-fall-semester)@@Rice University,Y,Private,--,✓,R
470,[Rutgers University](https://www.rutgers.edu/news/rutgers-require-covid-19-vaccine-students)@@Rutgers University,Y,Public,--,✓,D
535,[Stanford University](https://news.stanford.edu/today/2021/04/22/student-vaccination-fall/)@@Stanford University,Y,Private,✓,✓,D
603,[Tulane University](https://tulane.edu/covid-19/vaccine)@@Tulane University,Y,Private,--,✓,R
610,[University at Buffalo](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@University at Buffalo,Y,Public,--,✓,D
613,[University of California at Berkeley](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Berkeley,Y,Public,✓,✓,D
614,[University of California at Davis](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Davis,Y,Public,✓,✓,D
615,[University of California at Irvine](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Irvine,Y,Public,✓,✓,D
616,[University of California at Los Angeles](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Los Angeles,Y,Public,✓,✓,D
619,[University of California at San Diego](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at San Diego,Y,Public,✓,✓,D
621,[University of California at Santa Barbara](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Barbara,Y,Public,✓,✓,D
622,[University of California at Santa Cruz](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Cruz,Y,Public,✓,✓,D
624,[University of Chicago](https://news.uchicago.edu/story/university-announces-covid-19-vaccine-requirement-all-students)@@University of Chicago,Y,Private,✓,✓,D
625,[University of Colorado at Boulder](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Boulder,Y,Public,✓,✓,D
644,[University of Illinois at Urbana-Champaign](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Urbana-Champaign,Y,Public,✓,✓,D
658,[University of Maryland at College Park](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland at College Park,Y,Public,✓,✓,D
668,[University of Michigan at Ann Arbor](https://www.michigandaily.com/administration/u-m-to-require-vaccinations-against-covid-19-for-all-students-living-in-residence-halls-next-fall/)@@University of Michigan at Ann Arbor,Y,Public,✓,✓,D
675,[University of Minnesota at Twin Cities](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Twin Cities,Y,Public,--,✓,D
689,[University of Oregon](https://around.uoregon.edu/content/uo-require-covid-19-vaccinations-students-employees)@@University of Oregon,Y,Public,✓,✓,D
690,[University of Pennsylvania](https://penntoday.upenn.edu/announcements/update-penns-plans-fall-semester)@@University of Pennsylvania,Y,Private,✓,✓,D
696,[University of Rochester](https://www.rochester.edu/coronavirus-update/university-to-require-covid-19-vaccination-for-students-for-upcoming-academic-year/)@@University of Rochester,Y,Private,--,✓,D
700,[University of Southern California](https://policy.usc.edu/covid-19-vaccination-program/)@@University of Southern California,Y,Private,✓,✓,D
708,[University of Virginia](https://coronavirus.virginia.edu/updates/important-information-about-fall-2021)@@University of Virginia,Y,Public,--,✓,D
710,[University of Washington at Seattle](https://www.washington.edu/coronavirus/2021/05/03/uw-student-vaccination-requirement/)@@University of Washington at Seattle,Y,Public,✓,✓,D
716,[Vanderbilt University](https://www.vanderbilt.edu/coronavirus/)@@Vanderbilt University,Y,Private,✓,✓,R
740,[Washington University in St. Louis](https://covid19.wustl.edu/covid-19-vaccine-requirement/)@@Washington University in St. Louis,Y,Private,✓,✓,R
770,[Yale University](https://www.wfsb.com/news/yale-university-requiring-all-students-to-get-vaccinated-before-returning-to-campus/article_6d599bfc-a121-11eb-8fe8-4f87c780682c.html)@@Yale University,Y,Private,✓,✓,D
